date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year,ev_market_share
2021-10-01,18,1,0,289,2022,Q3,10,2021,0.0
2021-10-01,21,1,0,916,2022,Q3,10,2021,0.0
2021-10-01,22,0,0,1414,2022,Q3,10,2021,0.0
2021-10-01,22,1,0,722,2022,Q3,10,2021,0.0
2021-10-01,23,0,0,1886,2022,Q3,10,2021,0.0
2021-10-01,23,1,0,283,2022,Q3,10,2021,0.0
2021-10-01,24,0,0,650,2022,Q3,10,2021,0.0
2021-10-01,24,1,0,567,2022,Q3,10,2021,0.0
2021-10-01,26,1,0,609,2022,Q3,10,2021,0.0
2021-10-01,31,0,0,3015,2022,Q3,10,2021,0.0
2021-10-01,31,1,0,366,2022,Q3,10,2021,0.0
2021-11-01,1,0,0,413,2022,Q3,11,2021,0.0
2021-11-01,1,1,0,125,2022,Q3,11,2021,0.0
2021-11-01,3,0,0,1262,2022,Q3,11,2021,0.0
2021-11-01,3,1,0,646,2022,Q3,11,2021,0.0
2021-11-01,4,1,0,5618,2022,Q3,11,2021,0.0
2021-11-01,8,1,0,330,2022,Q3,11,2021,0.0
2021-11-01,13,1,0,4496,2022,Q3,11,2021,0.0
2021-11-01,14,1,0,4709,2022,Q3,11,2021,0.0
2021-11-01,18,0,0,28,2022,Q3,11,2021,0.0
2021-11-01,18,1,0,287,2022,Q3,11,2021,0.0
2021-11-01,21,1,0,875,2022,Q3,11,2021,0.0
2021-11-01,22,0,0,1442,2022,Q3,11,2021,0.0
2021-11-01,22,1,0,806,2022,Q3,11,2021,0.0
2021-11-01,23,0,0,1820,2022,Q3,11,2021,0.0
2021-11-01,23,1,0,328,2022,Q3,11,2021,0.0
2021-11-01,24,0,0,592,2022,Q3,11,2021,0.0
2021-11-01,24,1,0,692,2022,Q3,11,2021,0.0
2021-11-01,31,0,0,3843,2022,Q3,11,2021,0.0
2021-11-01,31,1,0,326,2022,Q3,11,2021,0.0
2021-12-01,1,0,0,376,2022,Q3,12,2021,0.0
2021-12-01,3,0,0,1036,2022,Q3,12,2021,0.0
2021-12-01,3,1,0,709,2022,Q3,12,2021,0.0
2021-12-01,14,1,0,5306,2022,Q3,12,2021,0.0
2021-12-01,18,0,0,15,2022,Q3,12,2021,0.0
2021-12-01,18,1,0,167,2022,Q3,12,2021,0.0
2021-12-01,21,1,0,849,2022,Q3,12,2021,0.0
2021-12-01,22,0,0,1101,2022,Q3,12,2021,0.0
2021-12-01,22,1,0,888,2022,Q3,12,2021,0.0
2021-12-01,23,0,0,1740,2022,Q3,12,2021,0.0
2021-12-01,23,1,0,376,2022,Q3,12,2021,0.0
2021-12-01,24,0,0,353,2022,Q3,12,2021,0.0
2021-12-01,24,1,0,540,2022,Q3,12,2021,0.0
2021-12-01,31,1,0,352,2022,Q3,12,2021,0.0
2022-01-01,1,0,0,336,2022,Q4,1,2022,0.0
2022-01-01,1,1,0,90,2022,Q4,1,2022,0.0
2022-01-01,3,0,0,950,2022,Q4,1,2022,0.0
2022-01-01,3,1,0,766,2022,Q4,1,2022,0.0
2022-01-01,4,1,0,5550,2022,Q4,1,2022,0.0
2022-01-01,8,1,0,358,2022,Q4,1,2022,0.0
2022-01-01,14,1,0,3963,2022,Q4,1,2022,0.0
2022-01-01,18,1,0,150,2022,Q4,1,2022,0.0
2022-01-01,21,1,0,687,2022,Q4,1,2022,0.0
2022-01-01,22,0,0,1112,2022,Q4,1,2022,0.0
2022-01-01,22,1,0,1063,2022,Q4,1,2022,0.0
2022-01-01,23,0,0,1387,2022,Q4,1,2022,0.0
2022-01-01,23,1,0,311,2022,Q4,1,2022,0.0
2022-01-01,24,0,0,410,2022,Q4,1,2022,0.0
2022-01-01,24,1,0,722,2022,Q4,1,2022,0.0
2022-01-01,26,1,0,758,2022,Q4,1,2022,0.0
2022-01-01,31,1,0,394,2022,Q4,1,2022,0.0
2022-02-01,1,0,0,388,2022,Q4,2,2022,0.0
2022-02-01,1,1,0,112,2022,Q4,2,2022,0.0
2022-02-01,3,0,0,858,2022,Q4,2,2022,0.0
2022-02-01,3,1,0,671,2022,Q4,2,2022,0.0
2022-02-01,18,0,0,15,2022,Q4,2,2022,0.0
2022-02-01,18,1,0,44,2022,Q4,2,2022,0.0
2022-02-01,21,1,0,834,2022,Q4,2,2022,0.0
2022-02-01,22,0,0,1145,2022,Q4,2,2022,0.0
2022-02-01,23,0,0,1599,2022,Q4,2,2022,0.0
2022-02-01,23,1,0,354,2022,Q4,2,2022,0.0
